model,layer,wasserstein_h1
bert-base-uncased,1,0.04283249611021202
bert-base-uncased,2,0.04772417265159211
bert-base-uncased,3,0.08199231425837449
bert-base-uncased,4,0.7161494443946941
bert-base-uncased,5,0.9925810847888896
bert-base-uncased,6,0.7095703965051227
bert-base-uncased,7,0.3288688171766174
bert-base-uncased,8,0.2892590653470015
bert-base-uncased,9,0.24007412760022198
bert-base-uncased,10,0.343463515732744
bert-base-uncased,11,0.31101881018317923
bert-base-uncased,12,0.19490134254479913
roberta-base,1,0.010463736632352227
roberta-base,2,0.0030228667519163043
roberta-base,3,0.0029666537059935376
roberta-base,4,0.004090616538261533
roberta-base,5,0.0055329490147392755
roberta-base,6,0.004769357838007927
roberta-base,7,0.004078749578096304
roberta-base,8,0.01394990662847441
roberta-base,9,0.010168477371165554
roberta-base,10,0.007775149215340971
roberta-base,11,0.011828483394793584
roberta-base,12,0.0578214316683799
