model,k,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,cumulative_variance
bert-base-uncased,2,0.7499999999999999,0.05103103630798288,0.6875,0.04419417382415922,0.2629549503326416
bert-base-uncased,5,0.7583333333333334,0.05432668671002206,0.6875,0.04941058844013093,0.486846387386322
bert-base-uncased,10,0.9333333333333332,0.06319062870042959,0.91875,0.07843687748756958,0.7036243677139282
bert-base-uncased,20,1.0,0.0,1.0,0.0,0.9168465733528137
bert-base-uncased,50,1.0,0.0,1.0,0.0,0.9905256032943726
textattack-bert-base-MNLI,2,0.7249999999999999,0.06319062870042959,0.625,0.08838834764831845,0.240204855799675
textattack-bert-base-MNLI,5,0.7833333333333333,0.11931517552730293,0.725,0.12960275845829825,0.4802105128765106
textattack-bert-base-MNLI,10,0.7666666666666666,0.05590169943749474,0.725,0.06011057519272295,0.7117143273353577
textattack-bert-base-MNLI,20,0.8666666666666666,0.03486083443891978,0.8375,0.055901699437494734,0.9298688769340515
textattack-bert-base-MNLI,50,1.0,0.0,1.0,0.0,0.9927997589111328
